,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.34,,,,,,,0,,,,,1,,,,,2,,,,,3,,,,,4,,,
,,,,,,,,,,,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev
XS,DIFF,MAX,AVERAGE,MIN,STDEV,0,1,2,3,4,,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft)
18653.95,0.51,6324.66,6324.41,6324.15,0.21,6324.66,6324.39,6324.17,6324.15,6324.40,,DS of Gold Run,18653.95,CWCB-100yr,6324.66,,DS of Gold Run,18620,CWCB-100yr,6323.2,,DS of Gold Run,18588,CWCB-100yr,6321.64,,DS of Gold Run,18564,CWCB-100yr,6320.43,,DS of Gold Run,18518,CWCB-100yr,6319.34
18465.51,1.34,6317.71,6317.44,6316.38,0.52,6317.35,6317.71,6317.26,6316.38,6317.52,,DS of Gold Run,18465.51,CWCB-100yr,6317.35,,DS of Gold Run,18442,CWCB-100yr,6316.88,,DS of Gold Run,18404,CWCB-100yr,6315.06,,DS of Gold Run,18367,CWCB-100yr,6312.32,,DS of Gold Run,18319,CWCB-100yr,6312.44
18272.68,1.23,6311.17,6310.43,6309.94,0.46,6310.64,6310.36,6310.30,6309.94,6311.17,,DS of Gold Run,18272.68,CWCB-100yr,6310.64,,DS of Gold Run,18224,CWCB-100yr,6308.49,,DS of Gold Run,18170,CWCB-100yr,6306.58,,DS of Gold Run,18128,CWCB-100yr,6306.3,,DS of Gold Run,18090,CWCB-100yr,6306.16
18064.3,0.07,6306.25,6306.20,6306.18,0.03,6306.25,6306.18,6306.18,6306.18,6306.18,,DS of Gold Run,18064.3,CWCB-100yr,6306.25,,DS of Gold Run,18064.3,CWCB-100yr,6306.18,,DS of Gold Run,18064.3,CWCB-100yr,6306.18,,DS of Gold Run,18064.3,CWCB-100yr,6306.18,,DS of Gold Run,18064.3,CWCB-100yr,6306.18
18042,,,,,,,,,,,,DS of Gold Run,18042,,,,DS of Gold Run,18042,,,,DS of Gold Run,18042,,,,DS of Gold Run,18042,,,,DS of Gold Run,18042,,
18029.42,0.00,6304.15,6304.15,6304.15,0.00,6304.15,6304.15,6304.15,6304.15,6304.15,,DS of Gold Run,18029.42,CWCB-100yr,6304.15,,DS of Gold Run,18029.42,CWCB-100yr,6304.15,,DS of Gold Run,18029.42,CWCB-100yr,6304.15,,DS of Gold Run,18029.42,CWCB-100yr,6304.15,,DS of Gold Run,18029.42,CWCB-100yr,6304.15
17903.88,1.06,6299.94,6299.29,6298.88,0.46,6298.88,6299.17,6299.84,6299.94,6299.71,,DS of Gold Run,17903.88,CWCB-100yr,6298.88,,DS of Gold Run,17877,CWCB-100yr,6298.1,,DS of Gold Run,17844,CWCB-100yr,6297.78,,DS of Gold Run,17817,CWCB-100yr,6297.03,,DS of Gold Run,17788,CWCB-100yr,6295.62
17754.87,0.01,6295.76,6295.75,6295.75,0.00,6295.76,6295.75,6295.75,6295.75,6295.75,,DS of Gold Run,17754.87,CWCB-100yr,6295.76,,DS of Gold Run,17754.87,CWCB-100yr,6295.75,,DS of Gold Run,17754.87,CWCB-100yr,6295.75,,DS of Gold Run,17754.87,CWCB-100yr,6295.75,,DS of Gold Run,17754.87,CWCB-100yr,6295.75
17740,,,,,,,,,,,,DS of Gold Run,17740,,,,DS of Gold Run,17740,,,,DS of Gold Run,17740,,,,DS of Gold Run,17740,,,,DS of Gold Run,17740,,
17715.61,0.04,6292.86,6292.85,6292.82,0.02,6292.82,6292.86,6292.86,6292.86,6292.86,,DS of Gold Run,17715.61,CWCB-100yr,6292.82,,DS of Gold Run,17715.61,CWCB-100yr,6292.86,,DS of Gold Run,17715.61,CWCB-100yr,6292.86,,DS of Gold Run,17715.61,CWCB-100yr,6292.86,,DS of Gold Run,17715.61,CWCB-100yr,6292.86
17578.71,0.99,6289.05,6288.67,6288.06,0.38,6289.05,6288.89,6288.06,6288.51,6288.67,,DS of Gold Run,17578.71,CWCB-100yr,6289.05,,DS of Gold Run,17549,CWCB-100yr,6288.03,,DS of Gold Run,17518,CWCB-100yr,6285.93,,DS of Gold Run,17465,CWCB-100yr,6284.89,,DS of Gold Run,17419,CWCB-100yr,6283.78
17367.25,0.71,6282.18,6281.64,6281.47,0.29,6281.47,6281.90,6281.55,6281.94,6282.18,,DS of Gold Run,17367.25,CWCB-100yr,6281.47,,DS of Gold Run,17333,CWCB-100yr,6280.74,,DS of Gold Run,17313,CWCB-100yr,6279.97,,DS of Gold Run,17281,CWCB-100yr,6279.34,,DS of Gold Run,17247,CWCB-100yr,6278.45
17205.99,0.56,6277.56,6277.34,6277.00,0.21,6277,6277.45,6277.56,6277.39,6277.42,,DS of Gold Run,17205.99,CWCB-100yr,6277,,DS of Gold Run,17168,CWCB-100yr,6276.46,,DS of Gold Run,17120,CWCB-100yr,6275.63,,DS of Gold Run,17050,CWCB-100yr,6273.32,,DS of Gold Run,16984,CWCB-100yr,6271.83
16919.65,0.91,6269.05,6268.83,6268.14,0.37,6268.79,6269.05,6268.65,6268.14,6269.01,,DS of Gold Run,16919.65,CWCB-100yr,6268.79,,DS of Gold Run,16899,CWCB-100yr,6268.43,,DS of Gold Run,16885,CWCB-100yr,6267.44,,DS of Gold Run,16865,CWCB-100yr,6265.97,,DS of Gold Run,16845,CWCB-100yr,6265.73
16825.83,0.66,6265.30,6265.18,6264.64,0.29,6265.15,6265.30,6265.07,6264.64,6264.71,,DS of Gold Run,16825.83,CWCB-100yr,6265.15,,DS of Gold Run,16807,CWCB-100yr,6264.5,,DS of Gold Run,16799,CWCB-100yr,6264,,DS of Gold Run,16783,CWCB-100yr,6263.19,,DS of Gold Run,16769,CWCB-100yr,6261.69
16752.38,1.05,6262.01,6261.46,6260.96,0.46,6260.96,6261.41,6262.01,6261.94,6261.19,,DS of Gold Run,16752.38,CWCB-100yr,6260.96,,DS of Gold Run,16727,CWCB-100yr,6259.98,,DS of Gold Run,16687,CWCB-100yr,6259.21,,DS of Gold Run,16654,CWCB-100yr,6257.94,,DS of Gold Run,16625,CWCB-100yr,6257.36
