,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,1,,,,,2,,,,,3,,,,,4,,,
,,,,,,,,,,,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev
XS,DIFF,MAX,AVERAGE,MIN,STDEV,0,1,2,3,4,,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft)
53280,0.43,1904.90,1904.70,1904.47,0.17,1904.9,1904.54,1904.67,1904.76,1904.47,,1,53280,100yr,1904.9,,1,53367,100yr,1904.55,,1,52948,100yr,1904.61,,1,53542,100yr,1904.8,,1,53630,100yr,1904.54
52727,0.45,1904.80,1904.60,1904.35,0.18,1904.8,1904.43,1904.56,1904.64,1904.35,,1,52727,100yr,1904.8,,1,52837,100yr,1904.46,,1,52452,100yr,1904.49,,1,53058,100yr,1904.72,,1,53169,100yr,1904.45
52270,0.45,1904.70,1904.49,1904.25,0.18,1904.7,1904.32,1904.45,1904.53,1904.25,,1,52270,100yr,1904.7,,1,52361,100yr,1904.34,,1,51944,100yr,1904.37,,1,52544,100yr,1904.6,,1,52635,100yr,1904.33
51727,0.46,1904.58,1904.36,1904.12,0.18,1904.58,1904.19,1904.32,1904.40,1904.12,,1,51727,100yr,1904.58,,1,51835,100yr,1904.21,,1,51461,100yr,1904.26,,1,52052,100yr,1904.48,,1,52161,100yr,1904.22
51284,0.48,1904.50,1904.27,1904.02,0.19,1904.5,1904.09,1904.21,1904.29,1904.02,,1,51284,100yr,1904.5,,1,51372,100yr,1904.12,,1,50968,100yr,1904.11,,1,51549,100yr,1904.36,,1,51638,100yr,1904.1
50758,0.49,1904.31,1904.07,1903.82,0.19,1904.31,1903.89,1904.00,1904.08,1903.82,,1,50758,100yr,1904.31,,1,50863,100yr,1903.95,,1,50466,100yr,1903.85,,1,51073,100yr,1904.23,,1,51178,100yr,1903.99
50272,0.49,1904.01,1903.77,1903.52,0.19,1904.01,1903.59,1903.70,1903.78,1903.52,,1,50272,100yr,1904.01,,1,50369,100yr,1903.67,,1,50046,100yr,1903.53,,1,50563,100yr,1903.99,,1,50660,100yr,1903.78
49896,0.74,1904.01,1903.60,1903.27,0.28,1904.01,1903.27,1903.52,1903.65,1903.45,,1,49896,100yr,1904.01,,1,49971,100yr,1903.34,,1,49559,100yr,1903.49,,1,50121,100yr,1903.67,,1,50196,100yr,1903.47
49335,1.03,1903.83,1903.28,1902.80,0.41,1903.83,1902.80,1903.22,1903.20,1902.87,,1,49335,100yr,1903.83,,1,49447,100yr,1902.86,,1,48994,100yr,1902.81,,1,49671,100yr,1903.62,,1,49783,100yr,1903.44
48767,0.85,1903.31,1902.81,1902.46,0.35,1903.31,1902.46,1902.67,1902.70,1902.47,,1,48767,100yr,1903.31,,1,48880,100yr,1902.54,,1,48477,100yr,1902.49,,1,49107,100yr,1902.91,,1,49221,100yr,1902.72
